"filename", "language", "C++", "CMake", "JSON", "YAML", "Dart", "TypeScript", "Swift", "HTML", "JavaScript", "PostCSS", "XML", "WebAssembly Text Format", "comment", "blank", "total"
"c:\MAIN FLUTTER\stockall\lib\classes\product_suggestions_class.dart", "Dart", 0, 0, 0, 0, -33, 0, 0, 0, 0, 0, 0, 0, 0, -4, -37
"c:\MAIN FLUTTER\stockall\lib\classes\product_summary\product_summary_class.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\MAIN FLUTTER\stockall\lib\classes\product_summary_class.dart", "Dart", 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, -2, -10
"c:\MAIN FLUTTER\stockall\lib\classes\refunded_records.dart", "Dart", 0, 0, 0, 0, -48, 0, 0, 0, 0, 0, 0, 0, 0, -4, -52
"c:\MAIN FLUTTER\stockall\lib\classes\refunded_records\refunded_records.dart", "Dart", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 4, 52
"c:\MAIN FLUTTER\stockall\lib\classes\subplan_class.dart", "Dart", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"c:\MAIN FLUTTER\stockall\lib\classes\subscription\subscription_class.dart", "Dart", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 13, 78
"c:\MAIN FLUTTER\stockall\lib\classes\subscription\subscription_class.g.dart", "Dart", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 4, 8, 60
"c:\MAIN FLUTTER\stockall\lib\classes\temp_barcode_printer_class\barcode_printer_local.dart", "Dart", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\MAIN FLUTTER\stockall\lib\classes\temp_barcode_printer_class\barcode_printer_local.g.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 4, 8, 45
"c:\MAIN FLUTTER\stockall\lib\classes\temp_barcode_printer_class\printer_settings\printer_settings.dart", "Dart", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 11, 42
"c:\MAIN FLUTTER\stockall\lib\classes\temp_barcode_printer_class\printer_settings\printer_settings.g.dart", "Dart", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 4, 8, 63
"c:\MAIN FLUTTER\stockall\lib\classes\temp_barcode_printer_class\temp_barcode_printer_class.dart", "Dart", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\MAIN FLUTTER\stockall\lib\classes\temp_barcode_printer_class\temp_barcode_printer_class\temp_barcode_printer_class.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\MAIN FLUTTER\stockall\lib\classes\temp_barcode_printer_class\temp_barcode_printer_class\temp_barcode_printer_class.g.dart", "Dart", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 4, 8, 46
"c:\MAIN FLUTTER\stockall\lib\classes\temp_cart\temp_cart.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 2, 3, 38
"c:\MAIN FLUTTER\stockall\lib\classes\temp_cart_item.dart", "Dart", 0, 0, 0, 0, -61, 0, 0, 0, 0, 0, 0, 0, 0, -8, -69
"c:\MAIN FLUTTER\stockall\lib\classes\temp_cart_items\temp_cart_item.dart", "Dart", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 5, 11, 98
"c:\MAIN FLUTTER\stockall\lib\classes\temp_current_shop\temp_current_shop.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
