"filename", "language", "C++", "CMake", "JSON", "YAML", "Swift", "Dart", "Markdown", "TypeScript", "XML", "HTML", "Shell Script", "JavaScript", "GLSL", "PostCSS", "Properties", "WebAssembly Text Format", "comment", "blank", "total"
"c:\MAIN FLUTTER\stockall\assets\svgs\employees_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\MAIN FLUTTER\stockall\assets\svgs\expenses_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\MAIN FLUTTER\stockall\assets\svgs\make_sales_button.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\MAIN FLUTTER\stockall\assets\svgs\naira_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\MAIN FLUTTER\stockall\assets\svgs\notif_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\MAIN FLUTTER\stockall\assets\svgs\plus_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 0, 13
"c:\MAIN FLUTTER\stockall\assets\svgs\product_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\MAIN FLUTTER\stockall\assets\svgs\pulse_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\MAIN FLUTTER\stockall\assets\svgs\receipt_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\MAIN FLUTTER\stockall\assets\svgs\report_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\MAIN FLUTTER\stockall\assets\svgs\sales_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\MAIN FLUTTER\stockall\assets\svgs\whatsapp_logo_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 0, 20
"c:\MAIN FLUTTER\stockall\build.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0, 5
"c:\MAIN FLUTTER\stockall\build\web\assets\AssetManifest.bin.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MAIN FLUTTER\stockall\build\web\assets\AssetManifest.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MAIN FLUTTER\stockall\build\web\assets\FontManifest.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\cart_loader.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\check_animation.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\main_loader.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\phone_verify.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\premium.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\profit.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\search_1.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\search_2.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\search_3.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\shop_setup_icon.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\welcome.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\welcome_robot.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\add_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\check_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\cust_book_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\customers_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\delete_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\divide_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\edit_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\employees_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\expenses_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\make_sales_button.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\naira_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\notif_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\plus_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 0, 13
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\product_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\pulse_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\receipt_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\report_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\sales_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\whatsapp_logo_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 0, 20
"c:\MAIN FLUTTER\stockall\build\web\assets\packages\flutter_inappwebview\assets\t_rex_runner\t-rex.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 1, 60
"c:\MAIN FLUTTER\stockall\build\web\assets\packages\flutter_inappwebview\assets\t_rex_runner\t-rex.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\MAIN FLUTTER\stockall\build\web\assets\packages\flutter_inappwebview_web\assets\web\web_support.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 556, 0, 0, 0, 0, 8, 29, 593
"c:\MAIN FLUTTER\stockall\build\web\assets\shaders\ink_sparkle.frag", "GLSL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 126
"c:\MAIN FLUTTER\stockall\build\web\canvaskit\canvaskit.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 6, 193
"c:\MAIN FLUTTER\stockall\build\web\canvaskit\canvaskit.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130070, 0, 3721, 133791
"c:\MAIN FLUTTER\stockall\build\web\canvaskit\chromium\canvaskit.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 6, 193
"c:\MAIN FLUTTER\stockall\build\web\canvaskit\chromium\canvaskit.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108434, 0, 2666, 111100
"c:\MAIN FLUTTER\stockall\build\web\canvaskit\skwasm.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 6, 141
"c:\MAIN FLUTTER\stockall\build\web\canvaskit\skwasm.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56459, 0, 1325, 57784
"c:\MAIN FLUTTER\stockall\build\web\canvaskit\skwasm_heavy.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 6, 141
"c:\MAIN FLUTTER\stockall\build\web\canvaskit\skwasm_heavy.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78453, 0, 2413, 80866
"c:\MAIN FLUTTER\stockall\build\web\flutter.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 4, 33
"c:\MAIN FLUTTER\stockall\build\web\flutter_bootstrap.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 4, 44
"c:\MAIN FLUTTER\stockall\build\web\flutter_service_worker.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 491, 0, 0, 0, 0, 31, 3, 525
"c:\MAIN FLUTTER\stockall\build\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 17, 33, 139
"c:\MAIN FLUTTER\stockall\build\web\main.dart.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 220216, 0, 0, 0, 0, 0, 1, 220217
"c:\MAIN FLUTTER\stockall\build\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"c:\MAIN FLUTTER\stockall\build\web\version.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MAIN FLUTTER\stockall\devtools_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\MAIN FLUTTER\stockall\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\MAIN FLUTTER\stockall\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 25
"c:\MAIN FLUTTER\stockall\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MAIN FLUTTER\stockall\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\MAIN FLUTTER\stockall\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\MAIN FLUTTER\stockall\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\MAIN FLUTTER\stockall\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 1, 1, 45
"c:\MAIN FLUTTER\stockall\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\MAIN FLUTTER\stockall\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\MAIN FLUTTER\stockall\lib\classes\app_version\app_version.dart", "Dart", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\MAIN FLUTTER\stockall\lib\classes\app_version\app_version.g.dart", "Dart", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 48
"c:\MAIN FLUTTER\stockall\lib\classes\checkout_response.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
