Date : 2026-02-25 17:55:38
Directory : c:\MAIN FLUTTER\stockall
Total : 501 files,  176323 codes, 7788 comments, 3665 blanks, all 187776 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| lib\pages\products\product_details\platforms\components                                                                             |          1 |        -44 |          0 |          0 |        -44 |
| lib\pages\products\storage_page                                                                                                     |          3 |      4,510 |        246 |         89 |      4,845 |
| lib\pages\products\storage_page (Files)                                                                                             |          1 |         19 |          0 |          3 |         22 |
| lib\pages\products\storage_page\platforms                                                                                           |          2 |      4,491 |        246 |         86 |      4,823 |
| lib\pages\products\total_products                                                                                                   |          3 |      1,114 |         23 |         25 |      1,162 |
| lib\pages\products\total_products (Files)                                                                                           |          1 |       -680 |        -24 |        -16 |       -720 |
| lib\pages\products\total_products\platforms                                                                                         |          2 |      1,794 |         47 |         41 |      1,882 |
| lib\pages\profile                                                                                                                   |         19 |      4,040 |         -3 |        111 |      4,148 |
| lib\pages\profile (Files)                                                                                                           |          1 |        -15 |          0 |         -2 |        -17 |
| lib\pages\profile\change_email                                                                                                      |         10 |      1,985 |         46 |         73 |      2,104 |
| lib\pages\profile\change_email\code_sent_change                                                                                     |          3 |        567 |          4 |         25 |        596 |
| lib\pages\profile\change_email\code_sent_change (Files)                                                                             |          1 |        119 |          1 |          5 |        125 |
| lib\pages\profile\change_email\code_sent_change\platforms                                                                           |          2 |        448 |          3 |         20 |        471 |
| lib\pages\profile\change_email\enter_new_email                                                                                      |          4 |        505 |         36 |         21 |        562 |
| lib\pages\profile\change_email\enter_new_email (Files)                                                                              |          2 |         35 |         36 |          8 |         79 |
| lib\pages\profile\change_email\enter_new_email\platforms                                                                            |          2 |        470 |          0 |         13 |        483 |
| lib\pages\profile\change_email\verify_email_change                                                                                  |          3 |        913 |          6 |         27 |        946 |
| lib\pages\profile\change_email\verify_email_change (Files)                                                                          |          1 |         58 |          0 |          6 |         64 |
| lib\pages\profile\change_email\verify_email_change\platforms                                                                        |          2 |        855 |          6 |         21 |        882 |
| lib\pages\profile\delete_account                                                                                                    |          3 |        465 |          1 |         15 |        481 |
| lib\pages\profile\delete_account (Files)                                                                                            |          1 |         35 |          1 |          4 |         40 |
| lib\pages\profile\delete_account\platforms                                                                                          |          2 |        430 |          0 |         11 |        441 |
| lib\pages\profile\edit                                                                                                              |          3 |        749 |        -22 |         18 |        745 |
| lib\pages\profile\edit (Files)                                                                                                      |          1 |         11 |          0 |          0 |         11 |
| lib\pages\profile\edit\platforms                                                                                                    |          2 |        738 |        -22 |         18 |        734 |
| lib\pages\profile\platforms                                                                                                         |          2 |        856 |        -28 |          7 |        835 |
| lib\pages\referrals                                                                                                                 |          1 |         -5 |          0 |          0 |         -5 |
| lib\pages\report                                                                                                                    |         18 |      8,518 |      1,261 |        180 |      9,959 |
| lib\pages\report (Files)                                                                                                            |          1 |        -19 |          0 |         -2 |        -21 |
| lib\pages\report\customer_report                                                                                                    |          3 |        901 |         22 |         17 |        940 |
| lib\pages\report\customer_report (Files)                                                                                            |          1 |         -1 |          0 |          0 |         -1 |
| lib\pages\report\customer_report\platforms                                                                                          |          2 |        902 |         22 |         17 |        941 |
| lib\pages\report\events_log                                                                                                         |          3 |      1,254 |          1 |         27 |      1,282 |
| lib\pages\report\events_log (Files)                                                                                                 |          1 |         23 |          0 |          4 |         27 |
| lib\pages\report\events_log\platforms                                                                                               |          2 |      1,231 |          1 |         23 |      1,255 |
| lib\pages\report\general_report                                                                                                     |          3 |      1,676 |        829 |         61 |      2,566 |
| lib\pages\report\general_report (Files)                                                                                             |          1 |         -1 |          0 |          0 |         -1 |
| lib\pages\report\general_report\platforms                                                                                           |          2 |      1,677 |        829 |         61 |      2,567 |
| lib\pages\report\platforms                                                                                                          |          2 |        411 |          2 |          7 |        420 |
| lib\pages\report\product_report                                                                                                     |          3 |      2,583 |        378 |         33 |      2,994 |
| lib\pages\report\product_report (Files)                                                                                             |          1 |         -1 |          0 |          0 |         -1 |
| lib\pages\report\product_report\platforms                                                                                           |          2 |      2,584 |        378 |         33 |      2,995 |
| lib\pages\report\sales_and_revenue                                                                                                  |          3 |      1,712 |         29 |         37 |      1,778 |
| lib\pages\report\sales_and_revenue (Files)                                                                                          |          1 |         -1 |          0 |          0 |         -1 |
